gyroX,gyroY,gyroZ,accX,accY,accZ,pitch,roll,yaw,type
1984.31,1045.72,-141.85,5.32,7.94,7.94,26.47,-111.63,-30.04,1
1984.31,1172.36,31.25,5.62,7.94,7.94,31.52,-64.05,-74.14,1
-32.9,-616.52,-36.74,2.41,-2.46,7.05,30.99,-50.61,-56.03,1
126.34,-254.58,279.3,2.08,-0.81,4.45,31,-32,-36.75,1
262.82,-253.48,351.56,1.1,2.4,4.79,24.69,-9.47,-17.5,1
329.28,-297.97,287.72,0.13,3.3,5.42,11.81,8.56,-5.93,1
298.65,-343.99,202.88,-0.88,3.98,6.04,-3.99,20.75,-2.83,1
262.39,-392.03,143.13,-0.99,2.83,6.39,-20.37,31.28,-5.84,1
243.29,-446.47,78.25,0,1.4,6.97,-35.39,44.9,-15.61,1
260.68,-436.77,57.68,0.95,0.85,7.36,-46.24,64.27,-30.66,1
278.69,-372.86,59.33,1.16,0.61,7.16,-51.65,86.49,-46.73,1
289.18,-298.89,73.85,0.35,0.82,6.47,-53.15,109.9,-63.46,1
276.25,-292.6,90.88,-0.05,1.09,6.16,-50.83,132.75,-80.34,1
249.63,-298.34,111.63,-0.08,1.24,6.09,-45.38,151.97,-94.77,1
216.86,-291.63,132.87,-0.15,1.25,5.92,-37.92,166.86,-105.99,1
196.84,-274.96,152.89,-0.4,1.2,5.52,-29.03,178.56,-114.42,1
191.83,-270.75,158.51,-0.8,1.11,5.05,-18.66,-171.76,-120.38,1
198.43,-283.08,152.47,-1.2,1.25,4.78,-6.37,-163.28,-123.67,1
202.7,-303.04,136.6,-1.29,1.44,4.68,7.23,-155.37,-124.09,1
193.12,-320.8,111.88,-1.25,1.75,4.57,21.34,-147.06,-121.29,1
174.8,-333.01,79.65,-1.27,1.61,3.85,33.56,-135.52,-111.18,1
169.07,-353.76,-27.65,-0.97,1.33,3.61,42.16,-117.6,-94.95,1
193.66,-345.83,-57.5,-0.62,1.08,3.48,44.42,-93.83,-74.12,1
225.71,-327.09,-76.84,-0.25,0.82,3.51,39.81,-70.41,-55.64,1
259.28,-297.3,-82.4,-0.05,0.69,3.54,31.09,-51.06,-43.74,1
289.92,-264.59,-74.1,0.04,0.62,3.58,21.18,-34.65,-37.35,1
312.44,-232.54,-56.15,0.03,0.66,3.55,11.63,-19.62,-34.39,1
326.6,-212.46,-37.05,0.02,0.78,3.53,2.97,-5.26,-33.55,1
333.44,-199.58,-11.29,-0.02,0.87,3.54,-4.88,8.69,-33.87,1
329.47,-194.4,9.95,-0.07,0.96,3.53,-12.15,22.22,-35.28,1
324.34,-189.64,23.5,-0.1,1.04,3.54,-18.67,35.42,-37.74,1
317.81,-185.91,39.79,-0.09,1.15,3.58,-24.55,48.45,-41.2,1
301.15,-178.53,52.31,-0.05,1.21,3.55,-29.46,61.02,-45.62,1
248.66,-174.26,62.99,-0.29,0.71,3.43,-33.86,71.65,-50.82,1
225.95,-169.01,74.46,-0.3,0.41,3.44,-37.74,82.1,-56.62,1
211.24,-161.87,83.13,-0.21,0.19,3.51,-41.24,92.18,-62.47,1
197.51,-140.56,90.03,-0.25,0.21,3.44,-44.19,101.79,-67.91,1
183.96,-120,90.45,-0.32,0.28,3.3,-46.46,111.36,-73.48,1
174.62,-113.71,85.82,-0.37,0.42,3.05,-47.59,121.02,-79.38,1
165.04,-118.53,75.81,-0.36,0.52,2.89,-47.63,130.63,-85.44,1
159.18,-132.93,61.58,-0.37,0.51,2.77,-45.85,140.05,-91.55,1
153.56,-156.13,46.63,-0.42,0.5,2.72,-42.42,148.87,-97.12,1
147.22,-176.45,36.56,-0.45,0.46,2.71,-37.45,156.66,-101.8,1
136.96,-196.72,27.22,-0.45,0.42,2.71,-31.17,163.19,-105.45,1
126.77,-211.79,18.37,-0.34,0.45,2.66,-23.8,168.38,-107.91,1
112.24,-223.08,7.45,-0.24,0.45,2.58,-15.66,172.39,-109.4,1
96.44,-233.7,0.12,-0.09,0.36,2.44,-6.72,175.46,-110.11,1
80.14,-243.71,-7.14,0.03,0.26,2.32,2.75,178.19,-110.25,1
77.33,-245.67,-10.93,0.17,0.2,2.2,12.52,-178.84,-109.8,1
84.11,-248.47,-14.83,0.37,0.19,2.09,22.33,-175.06,-108.56,1
97.47,-244.2,-20.69,0.57,0.26,2.02,32.02,-170,-106.22,1
112.3,-232.3,-22.89,0.73,0.29,2.02,40.98,-163.08,-102.51,1
126.95,-209.53,-17.46,0.89,0.33,2.02,48.41,-153.99,-97.83,1
151.12,-166.56,-1.65,0.96,0.39,1.99,54.38,-142.78,-92.13,1
171.2,-125.79,13.24,0.97,0.38,1.85,58.96,-129.61,-85.65,1
193.91,-95.52,22.89,0.89,0.37,1.79,62.39,-114.27,-78.19,1
216.19,-71.29,32.35,0.78,0.34,1.75,64.85,-96.76,-69.98,1
240.91,-55.48,39.79,0.66,0.22,1.79,66.21,-76.83,-60.33,1
272.58,-40.53,47,0.63,0.11,1.8,66.46,-55.89,-50.51,1
293.15,-24.84,51.64,0.61,0.1,1.8,65.93,-35.26,-41.77,1
309.27,-10.31,53.96,0.6,0.15,1.75,64.57,-15.68,-34.47,1
319.27,-8.91,50.78,0.53,0.29,1.66,62.44,2.73,-28.58,1
328.37,-9.28,45.9,0.4,0.38,1.56,59.51,19.11,-25.13,1
340.64,-12.39,39.79,0.32,0.47,1.46,56.23,34.25,-23.49,1
349.91,-24.72,19.96,0.41,0.92,1.39,52.95,47.1,-24.32,1
324.71,-27.95,9.7,0.55,1.17,1.38,49.93,57.79,-25.97,1
279.24,-22.64,9.09,0.59,1.21,1.45,47.28,66.63,-27.66,1
236.57,-7.39,10.07,0.6,1.07,1.49,45.15,73.55,-28.71,1
191.22,19.59,13.24,0.59,0.79,1.53,43.42,79.51,-28.89,1
168.46,38.7,13.12,0.57,0.45,1.6,42.02,85.08,-28.26,1
158.08,55.11,10.74,0.54,0.23,1.6,40.96,90.53,-27.05,1
